level,pcode,name,center_lat,center_lon
adm4,MMR001001001,Alam,25.62231379,97.46125042
adm4,MMR001001002,Nawng Nang,25.55121482,97.46562871
adm4,MMR001001003,Pa La Na Sa Khan Myar,25.55201037,97.39153009
adm4,MMR001001004,Nam Kyin,25.52355276,97.32826704
adm4,MMR001001005,Nam Kwayt,25.39862086,97.25494371
adm4,MMR001001007,Maw Hpawng,25.34043056,97.29499514
adm4,MMR001001008,Sha Daung,25.33640999,97.26061931
adm4,MMR001001009,Loi Hkaw,25.29929313,97.16390975
adm4,MMR001001010,Tang Hpe,25.6736328,97.2708475
adm4,MMR001001011,In Jit Yang,25.91234228,97.29573073
adm4,MMR001001012,Ti Yang Zug,26.0530307,97.25194044
adm4,MMR001001013,Ta Law Gyi,24.9563797,97.39050825
adm4,MMR001001014,Hkawng Hpu Ywar Thit,25.14803301,97.32257266
adm4,MMR001001015,Hkawng Hpu Ywar Haung,25.09651582,97.27002458
adm4,MMR001001016,Ho Kat,25.07071714,97.19680381
adm4,MMR001001017,San Kin,24.96283177,97.2112237
adm4,MMR001001018,Ah Kye,25.21069635,97.21362024
adm4,MMR001001019,Myin Thar,24.75987756,96.89143288
adm4,MMR001001020,Yae Nar Pin Lon,24.69366689,96.96914835
adm4,MMR001001021,Pin Taw,24.65425282,97.05482522
adm4,MMR001001022,Taw Pin Long,24.65618781,96.98204963
adm4,MMR001001023,Man Kin,24.5951666,97.02173159
adm4,MMR001001024,Wea Gyi,24.70862424,97.09146067
adm4,MMR001001025,Nawng Pwe,24.86021224,96.9159505
adm4,MMR001001026,Nei Char,24.922291,96.8974531
adm4,MMR001001027,Man Hpwar,24.94373405,96.95864049
adm4,MMR001001028,Nyaung Pin Thar,24.87014831,97.14596499
adm4,MMR001001029,Waing Long,25.01141369,97.07361065
adm4,MMR001001030,Tar Hoe Nar,24.96517711,97.04710616
adm4,MMR001001701,Urban,25.4062239,97.38793878
adm4,MMR001001702,Urban,24.77793862,97.04044298
adm4,MMR001001901,,25.03520208,97.15340625
adm4,MMR001001902,,24.98427483,97.29988489
adm4,MMR001001903,,25.47427446,97.24410889
adm4,MMR001001904,,24.82444381,96.79337928
adm4,MMR001002001,Mading,25.36861303,97.46368207
adm4,MMR001002002,Moke Lwe,25.2959326,97.41096374
adm4,MMR001002003,Hkat Shu,25.29029158,97.3637522
adm4,MMR001002004,Aung Myay (1),25.23950964,97.43807506
adm4,MMR001002005,Aung Myay (2),25.20647191,97.44402552
adm4,MMR001002006,Mong Nar,25.45229952,97.47580476
adm4,MMR001002007,Nawng Ta Law,25.38498576,97.42041662
adm4,MMR001002008,Nawng Hee,25.35405961,97.34757981
adm4,MMR001002009,Ma Hkan Tee,25.33045594,97.35301948
adm4,MMR001002010,Zee Kyun,25.24336677,97.36716311
adm4,MMR001002011,Wu Yang,25.39275775,97.49574882
adm4,MMR001002012,Shwe Nyaung Pin,25.21163413,97.51564548
adm4,MMR001002013,Nawng Si Paw,25.30153455,97.50624815
adm4,MMR001002014,Nawng Ching,25.60974693,97.62074813
adm4,MMR001002015,Nam War,25.38883243,97.54344842
adm4,MMR001002016,War Shawng,25.34809927,97.62224579
adm4,MMR001002017,Ding Jang Yang,25.47499521,97.66255605
adm4,MMR001002018,Sha Ngaw,25.64710991,97.91319524
adm4,MMR001002019,Ma Ga Ran Yang,25.68757413,97.95882934
adm4,MMR001002020,Hpan Dawng,25.59787742,97.86462224
adm4,MMR001002021,Kan Taw Yang,24.98441293,97.51452255
adm4,MMR001002022,Ka Tsu,25.14159997,97.57335439
adm4,MMR001002023,Gar Ra Yang,25.21121808,97.55775438
adm4,MMR001002024,Nam Sang Yang,24.8326004,97.5989861
adm4,MMR001002025,Da Bat Yang,25.07656554,97.53405555
adm4,MMR001002026,Hseng Law,25.39178476,97.7115462
adm4,MMR001002027,Man Wein,25.51992885,97.73701049
adm4,MMR001002028,San Kar,25.24510111,97.31134139
adm4,MMR001002029,San Pai,25.25407146,97.621258
adm4,MMR001002030,Hpon Tang Kawng,25.38471187,97.79084576
adm4,MMR001002031,Sa Hpar,24.96088667,97.6767618
adm4,MMR001002032,Hpawt Dawt,25.17627573,97.71781769
adm4,MMR001002033,Sa Nar,25.39848285,97.864576
adm4,MMR001002034,La Hpai,25.42548499,97.9631298
adm4,MMR001002035,Waw Chont,25.42474077,98.07928724
adm4,MMR001002036,Hpon Kraw,25.46500996,97.90590379
adm4,MMR001002037,Lu Htaung,25.33561771,98.00406659
adm4,MMR001002038,Lawt Pun,25.57900827,98.00077696
adm4,MMR001002039,Zahkung,25.6122481,98.11682964
adm4,MMR001002040,Saga Par,25.29650879,97.9223682
adm4,MMR001002701,Urban,25.34599601,97.43661954
adm4,MMR001002702,Urban,25.40008457,97.90030903
adm4,MMR001002703,Urban,25.40345706,98.11778172
adm4,MMR001003001,In Jun Gar,26.13266556,97.98997038
adm4,MMR001003002,Shagri Bum,26.12231063,97.72066577
adm4,MMR001003003,Mai Rawn,26.07132287,97.90530949
adm4,MMR001003004,Ma Htum,26.12470825,97.90433526
adm4,MMR001003005,Sam Hpum Gar,25.75702017,97.69997906
adm4,MMR001003006,In Dung Yang,25.67010504,97.84377789
adm4,MMR001003007,Hpon Gan,25.92249909,97.82817322
adm4,MMR001003008,Sut Mar Tu,26.43771909,97.80922989
adm4,MMR001003009,Sa Law Ding Sar,25.66736202,97.74874864
adm4,MMR001003010,Sha Dan Lawt Hkum,26.24696435,98.04144462
adm4,MMR001003011,In Man Hka Jang,26.29287632,97.87516951
adm4,MMR001003012,In Hpyin Gar,25.85041526,97.77552259
adm4,MMR001003013,Mai Taung,25.87662756,97.86247142
adm4,MMR001003014,Sha Ga Ri Ka Htaung,26.04982973,98.07911518
adm4,MMR001003015,Shin Kun (Kying Htaung Ga),25.8033399,97.89791519
adm4,MMR001003016,Tsum Dwar Gar,26.01236983,97.99024074
adm4,MMR001003017,Pin Laung,26.10109912,97.83547289
adm4,MMR001003018,In Htauk Gar,25.86679795,97.96094561
adm4,MMR001003019,Ka Yawng Htein Rawt,26.40247224,98.13063253
adm4,MMR001003020,Sha Dan Pong War,25.77154972,97.95260797
adm4,MMR001003022,Hkan Dauk Yang,25.98849791,97.93988797
adm4,MMR001003023,Jing Mar Yang,25.99317868,97.808559
adm4,MMR001003024,In Waing Kawng,25.84459167,97.68581107
adm4,MMR001003025,Myit Son,25.80493012,97.56402189
adm4,MMR001003026,In Pauk Chet,26.20100477,97.82607922
adm4,MMR001003027,In Hku Gar,26.36998048,97.82943857
adm4,MMR001003028,In Ji Au Mar,26.60961019,98.17409147
adm4,MMR001003029,Ka Kyee Htu La Nang,26.22890704,97.76509216
adm4,MMR001003030,La Gan In Bauk Htu,26.44781388,97.89396902
adm4,MMR001003031,Tsum Hpawng,25.94393479,97.63220004
adm4,MMR001003032,Au Ga Au Si,26.33393857,97.96712261
adm4,MMR001003033,In Gawt Au Mar,26.52953339,98.151121
adm4,MMR001003034,Shadan Ding Sa,26.32410896,98.02710665
adm4,MMR001003035,In Pawm Bum,26.21804418,98.01941743
adm4,MMR001003036,La Zee Gum Yang Lar,26.39244817,97.89749359
adm4,MMR001003037,La Wa Yang,26.47523908,97.85386406
adm4,MMR001003038,Ka Kyee Htu,26.33993915,97.78952481
adm4,MMR001003039,Sa Law Ding Ngut,26.57729368,98.09978197
adm4,MMR001003040,Ma Kyang Ding Sa,26.25488197,98.12542863
adm4,MMR001003041,Ka Ring Gar,26.06018572,97.71522423
adm4,MMR001003042,Hkum Bwe Au Mar,26.39666086,97.99379363
adm4,MMR001003043,Ma Dan Tu,26.47873412,97.96439082
adm4,MMR001003044,In Law Au Mar,26.44112815,98.04617179
adm4,MMR001003045,Wa Li Chet,26.52304159,98.00171074
adm4,MMR001003046,Nawt Hkum Gar,26.5328712,98.07121833
adm4,MMR001003047,In Shang Hkoe Gar,26.34718181,98.15980901
adm4,MMR001003048,Kying Ma Gar,26.1522673,98.08185514
adm4,MMR001003049,Ma Wun Au Mar,26.33770005,98.12331927
adm4,MMR001003050,Sha Re Au Mar,26.48867487,98.14557867
adm4,MMR001003051,In Hku,25.87192952,98.02861383
adm4,MMR001003052,Adan Gar,26.18952829,98.00859819
adm4,MMR001003053,Gum Lang,26.27262051,97.97102065
adm4,MMR001003054,Hpum Yawng Ding Sa,26.17572862,97.85597518
adm4,MMR001003055,Ka Htang Tu,26.27708714,97.78866047
adm4,MMR001003056,In Gum La,26.25743718,97.83340846
adm4,MMR001003057,In Bang Bum,26.20983996,97.94587082
adm4,MMR001003058,Ma Htaw Au Mar,26.71991453,98.24567443
adm4,MMR001003059,Naw Lang,26.3353428,98.0743486
adm4,MMR001003060,Ka Dawt Zum Hpaw,26.29139048,97.74291097
adm4,MMR001003061,In Kwei,26.34888004,97.88964977
adm4,MMR001003062,In Byine Gar,26.42985253,97.79251082
adm4,MMR001003063,In Sar Hkram,26.25258127,97.90041526
adm4,MMR001003701,Urban,25.79294621,97.80148055
adm4,MMR001004001,Ting Kauk,25.91810638,96.94766585
adm4,MMR001004002,Nam Hpyet Yang,26.01353575,97.07824938
adm4,MMR001004003,Nawng Long Kawng Ra,26.2413479,96.82484189
adm4,MMR001004004,Mai Khun (Mone Hkawm),26.4786212,96.25855115
adm4,MMR001004005,Ma Kaw,26.63548095,97.01901402
adm4,MMR001004006,Shin Long Gar,26.7508075,96.89419492
adm4,MMR001004010,Sa Rar Ka Htaung (a) Awng Lawt,26.25772668,97.07787064
adm4,MMR001004011,Nam Hkam Par (a) Nam Byu,26.07092984,96.41626297
adm4,MMR001004016,Hka Long,26.79698798,96.39445941
adm4,MMR001004017,Ta Ron,26.76231289,96.61874921
adm4,MMR001004701,Urban,26.31899081,96.80045708
adm4,MMR001004702,Urban,26.66568921,96.20879949
adm4,MMR001005001,Lai Mar Yang,25.84708457,98.13304012
adm4,MMR001005002,Zan Nawng,25.90181112,98.08105695
adm4,MMR001005003,Na Law,25.86156464,98.08123731
adm4,MMR001005004,Myaw Maw Par,25.94549818,98.09025744
adm4,MMR001005005,Lawng Hpant,26.02473102,98.14425138
adm4,MMR001005006,Myit Nawt,26.10134982,98.16949437
adm4,MMR001005007,Man San,25.69848526,98.0441701
adm4,MMR001005008,Shan Kyaw,25.73410138,97.99808763
adm4,MMR001005009,Ma Gaung,25.73938008,98.16011434
adm4,MMR001005010,Bant Li,25.81607159,98.10219165
adm4,MMR001005011,Nar Maw Zut,25.75811815,98.05715646
adm4,MMR001005012,Ta Mu,25.78942241,98.05288546
adm4,MMR001005013,Hpa Lar,26.04471919,98.21489545
adm4,MMR001005014,Byaw Li,26.01465219,98.23021155
adm4,MMR001005015,Man Dungt,25.92929251,98.19927534
adm4,MMR001005016,Law Hkawng,25.88831986,98.19578159
adm4,MMR001005017,Ya Jawng,25.88175373,98.21359923
adm4,MMR001005018,Jit Lai,25.85811567,98.20989491
adm4,MMR001005019,Yi Jaw,25.8402558,98.21914603
adm4,MMR001005020,Mawng Gong,25.81532314,98.23552901
adm4,MMR001005021,Kyin Htong,25.79562828,98.24739865
adm4,MMR001005022,Lang Jaw,25.7751198,98.26785803
adm4,MMR001005023,Htaw Gawt,25.93638393,98.37085034
adm4,MMR001005024,Bawm Myan,25.98418535,98.44452269
adm4,MMR001005025,La Gway,25.90434251,98.48367874
adm4,MMR001005026,Hpa Re,25.84698364,98.41137033
adm4,MMR001005027,Lang Yang,25.85784048,98.28336274
adm4,MMR001005028,Bwi Lat,25.99180206,98.38092243
adm4,MMR001005029,Gam Hkun,26.03846243,98.39649918
adm4,MMR001005030,Shi Kyang,25.99941877,98.48131323
adm4,MMR001005031,Htum Shing,26.05753778,98.42207542
adm4,MMR001005032,Nu Zung Baung,26.07656532,98.45148622
adm4,MMR001005033,Gawt Yum,26.00014578,98.53420558
adm4,MMR001005034,Chit Gaw,26.05949689,98.5205115
adm4,MMR001005035,Hpi Maw,26.00727391,98.58856855
adm4,MMR001005036,Htan Dung,26.0520516,98.57992111
adm4,MMR001005037,La Ngaw Hkaw,26.09938498,98.52365303
adm4,MMR001005038,Sa Du Law,26.30255706,98.60918192
adm4,MMR001005039,Ngwar Hpa Hkar,26.23199273,98.54304191
adm4,MMR001005040,Kan Hpant,26.15232898,98.54253924
adm4,MMR001005041,Lu Pi,25.65772104,98.32522305
adm4,MMR001005042,Loke Nawt Jang,25.8999655,98.63497929
adm4,MMR001005701,Urban,25.89763471,98.15869131
adm4,MMR001005702,Urban,25.60148524,98.3779501
adm4,MMR001006001,La Hkam,26.24434298,98.30041898
adm4,MMR001006002,Yin Kyin,26.09838898,98.23776645
adm4,MMR001006003,Wa Hawng,26.22504334,98.26444126
adm4,MMR001006004,Man Kyi,26.26810971,98.40789536
adm4,MMR001006005,Han Kaw,26.36795187,98.42238728
adm4,MMR001006006,Yaw Jaw,26.19145313,98.44334871
adm4,MMR001006007,Jit Loi,26.17966709,98.36017216
adm4,MMR001006008,Lawng Din,26.08361221,98.36696328
adm4,MMR001006009,Shin Swei,26.05285669,98.29702005
adm4,MMR001006010,Myaw Jawng,26.0826901,98.28712531
adm4,MMR001006011,Man Byawt,26.05008237,98.25498246
adm4,MMR001006012,Gawt Maw,26.23631859,98.18486524
adm4,MMR001006013,Nung Boke,26.26732575,98.22487072
adm4,MMR001006014,Lawng Lang,26.17616603,98.18412661
adm4,MMR001006015,Zan Yu,26.31696843,98.22983212
adm4,MMR001006016,Boke Ran,26.42460123,98.23238287
adm4,MMR001006017,Sha Hpat,26.3722981,98.24488717
adm4,MMR001006018,Kyee Shin,26.11852702,98.28205605
adm4,MMR001006019,Wa Myit,26.52186763,98.2586734
adm4,MMR001006020,Lar Za,26.67861743,98.3133242
adm4,MMR001006021,Htaw Lang,26.69088648,98.4348073
adm4,MMR001006022,La Kin,26.49803744,98.5986366
adm4,MMR001006023,Lar Chin,26.62950031,98.64915956
adm4,MMR001006024,Jar Ran,26.51532363,98.41498906
adm4,MMR001006025,Ba Shea,26.42673191,98.37131571
adm4,MMR001006701,Urban,26.14607689,98.25915829
adm4,MMR001007001,Pin Long,24.57476905,96.1651203
adm4,MMR001007002,Maw Han,24.68916293,96.15962766
adm4,MMR001007003,Se Maing Ywar Thit,24.5950998,96.39406747
adm4,MMR001007004,Kar Tu,24.84881512,96.03656406
adm4,MMR001007005,Nyaung Kaing,24.62798882,96.4602321
