SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Pcode,Village_Name_Eng,Village_Name_MMR,Commonly_Used_Local_Vlg_Name_Eng,Commonly_Used_Local_Vlg_Name_Mya,Longitude,Latitude,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,GAD_Village_Status,Field_Village_Status,MIMU_Village_Mapping_Status,Change_Type,Previous_Village_Name_Eng,Remark
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150004,Da None Chaung,ဓနုံးချောင်း,,,95.3604794,16.1847161,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150011,Hteik Chaung,ထိပ်ချောင်း,,,95.31728363,16.13915062,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150007,Kun Thee Chaung,ကွမ်းသီးချောင်း,,,95.3453336,16.1464104,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150009,Kyar Chaung,ကျားချောင်း,,,95.33157349,16.18874931,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150002,Kyet Taung Chaung Sar Hpyu Su,ကြက်တောင်ချောင်းစာဖြူစု,,,95.3626587,16.1933954,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150001,Kyun Hteik,ကျွန်းထိပ်,,,95.3622385,16.197784,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150010,La Tar Chaung,လတာချောင်း,,,95.30738068,16.1532402,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150013,La Tar Chaung Hpyar,လတာချောင်းဖျား,,,95.31829,16.16144,Field Sources,01-Jan-15,31-Mar-15,,,N/A,Inactive,Inactive,Delete,,Deleted_Does not exist on the ground
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150005,Nat Mauk,နတ်မောက်,,,95.34343719,16.1531105,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150012,Nga Khu Chaung,ငခူချောင်း,,,95.31437683,16.17123985,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150006,Pyin Ma Kone,ပျဉ်းမကုန်း,,,95.34973145,16.17398071,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150003,Tone Le,တုံးလဲ,,,95.35477538,16.20360864,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,150008,Ywar Thar Yar,ရွာသာယာ,,,95.3540044,16.1626189,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150472,Hle Seik (East),လှည်းဆိပ် (အရှေ့),,,95.54699707,16.41229057,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150480,Hle Seik (West),လှည်းဆိပ် (အနောက်),,,95.53201294,16.3926506,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150479,Hpa Yar Gyi Chaung,ဘုရားကြီးချောင်,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150477,Koke Ko Su,ကုက္ကိုစု,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150476,Ku Lar Gyi Kwe,ကုလားကြီးကွဲ,,,95.5478363,16.39233017,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150481,Kwet Thit,ကွက်သစ်,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150473,Kyar Pin Kwin,ကြာပင်ကွင်း,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150475,Nwe Khway,နွယ်ခွေ,,,95.54409,16.40061,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150478,Thin Pan Chaung,သင်ပန်းချောင်း,,,95.55233,16.40069,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,150474,Thone Ein Tan,သုံးအိမ်တန်း,,,95.54400635,16.42012978,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150589,Aye,အေး,,,95.33695221,16.24224091,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150591,Hle Seik,လှဲဆိပ်,,,95.3352773,16.2719394,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150597,Ka Nyin,ကညင်,,,95.33203,16.26888,Field Sources,01-Jan-15,31-Mar-15,,,N/A,Inactive,Inactive,Delete,,Deleted_Does not exist on the ground
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150590,Ka Nyin Chaung (North),ကညင်ချောင်း (မြောက်),,,95.33997803,16.27404117,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150594,Ka Nyin Chaung (South),ကညင်ချောင်း (တောင်),,,95.34277185,16.26887227,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150595,Kun Thee Chaung,ကွမ်းသီးချောင်း,,,95.3317747,16.2569299,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150592,Kyee Pin Su,ကျီးပင်စု,,,95.3218461,16.2596722,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150593,Ma Gyi Chaung,မကျီးချောင်း,,,95.3243381,16.2360373,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,150596,Pay Chaung,​ပေချောင်း,,,95.34023285,16.24751091,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,222716,Auk Ma Gyi Chaung,အောက်မကျီးချောင်း,,,95.3338822,16.2385662,Field Sources,27-Oct-22,,,,N/A,Active,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150602,Aye Yar,အေရာ,,,95.11270142,15.80893993,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150605,Ohn Pin Su,အုန်းပင်စု,,,95.12940979,15.80838966,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150612,Say Yoe Kwin,ဆေးရိုးကွင်း,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150603,Tauk Tar Kone,တောက်တာကုန်း,,,95.11688995,15.80708027,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150607,Taung Yar Gyi,တောင်ယာကြီး,,,95.14135742,15.8144598,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150606,Tha Bawt Aing,သဘော့အိုင်,,,95.12709808,15.79973984,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,150610,Tha Ma Seik Ta,သမစိတ္တ,,,95.148369,15.79868,GAD,,,,,Active,N/A,Active,,,
