SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Tract_Name_MMR,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,GAD_VillageTract_Status,Field_VillageTract_Status,MIMU_VillageTract_Mapping_Status,Change_Type,Previous_Village_Tract_Name_Eng,Remark
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024040,(Kyun Nyo Gyi) Kyun Hteik,(ကျွန်းညိုကြီး) ကျွန်းထိပ်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024011,Auk Hle Seik,အောက်လှည်းဆိပ်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024038,Aye,အေး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024070,Aye Yar,အေရာ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024045,Boe Di Kwe,ဘိုဒီကွဲ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024028,Boe Yaung,ဘိုးရောင်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024058,Byu Sa Khan,ဗြူးစခန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,ချောင်းဗြဲကြီး,GAD,28-Feb-14,,No. 194/2014,,Active,N/A,Active,,,Split from Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,ချောင်းကြီးဝ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),ချောင်းဖျား (ညီနောင်),GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,ဒေါင့်ကြီး,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Split,,Another VT is Yae Kyaw Toe (MMR017024073)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024054,Ga Yan,ဂရမ်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024022,Haing Si,ဟိုင်းစီ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024044,Hay Man,ဟေမန်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024007,Hlwa Htaung Su,လွှထောင်စု,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024067,Hpa Yar Chaung,ဘုရားချောင်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024048,Hpa Yar Thone Su,ဘုရားသုံးဆူ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024050,Hpoe Lay,ဖိုးလေး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024072,Htaw Paing,ထော်ပိုင်,GAD,28-Feb-14,,No. 194/2014,,Active,N/A,Active,,,Split from Set San (MMR017024057)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024071,Ka Don Ka Ni,ကဒုံကနိ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024059,Ka Ma Ka Lu,ကမကလူ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024004,Kan Gyi,ကမ်းကြီး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024002,Kan Su (East),ကံစုအရှေ့,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024018,Kan Su (West),ကံစု (အနောက်),GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024065,Kha Naung,ခနောင်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024017,Ku Lar Ohn Pin Su,ကုလားအုံးပင်စု,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024006,Kun Pin,ကွန်ပင်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024026,Kwin Gyi,ကွင်းကြီး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024015,Kwin Pone Gyi,ကွင်းပုံးကြီး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024068,Kyein Chaung Gyi,ကြိမ်ချောင်းကြီး,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Split,,Another VTs were Chaung Bye Gyi (MMR017024074) and Sat Kyun (MMR017024075)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024014,Kyon Hpar,ကျုံဖါး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024010,Kyon Sa Lu,ကျုံစလူ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024069,Kyun Thar Yar,ကျွန်းသာယာ,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Split,,Another VT is Tha Yaw Chaung (MMR017024076)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024001,Lin Taing,လင်းတိုင်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024039,Ma Gu,မဂူ,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Split,,Another VT was Sat Kyun (MMR017024075)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024037,Ma Lawt,မလော့,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024005,Ma Yeit Ywar Thit,မရဲ့ရွာသစ်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024020,Min Gan,မင်းဂံ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024042,Mya Thein Tan,မြသိန်းတန်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024019,Myin Ka Kone,မြင်းကကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024049,Nga Pi Chaung,ငပိချောင်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024063,Nga Pyay Ma,ငပြေမ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024047,Nyi Naung (Hay Man),ညီနောင် (ဟေမန်),GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024036,Nyi Naung Wa,ညီနောင်ဝ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024041,Pa Da Myar Kone,ပတ္တမြားကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024030,Pa Wein,ပဝိန်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024033,Paik Sa Lat,ပိုက်စလပ်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024008,Pan Be Su,ပန်းဘဲစု,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024062,Paung Htei,ပေါင်းထယ်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024056,Pet Pye,ပက်ပြဲ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024055,Pyin Boe Gyi,ပြင်ဘိုးကြီး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024009,Pyin Ma Kone,ပျဉ်းမကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024024,Sa Bai Kone,စပါယ်ကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024060,Sa Khan Gyi,စခန်းကြီး,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024075,Sat Kyun,ဆတ်ကျွန်း,GAD,28-Feb-14,,No. 194/2014,,Active,N/A,Active,,,Split from Kyein Chaung Gyi (MMR017024068) and Ma Gu (MMR017024039)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024012,Sein Haing,စိန်ဟိုင်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024057,Set San,စက်ဆန်း,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Split,,Another VT is Htaw Paing (MMR017024072)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024027,Su Pa Daung Kone,ဆူးပဒေါင်းကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024032,Tha Byu Kone,သဗြုကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024023,Tha Kan Wa,သကန်ဝ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024061,Tha Pyay Kan,သပြေကန်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024076,Tha Yaw Chaung,သရော်ချောင်း,GAD,28-Feb-14,,No. 194/2014,,Active,N/A,Active,,,Split from Kyun Thar Yar (MMR017024069)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024053,Tha Zin Kone,သဇင်ကုန်း,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024031,Tha Zin Ngu,သဇင်ငူ,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024021,Than Laik,သံလိုက်,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024035,Thar Paung,သာပေါင်း,GAD,,,,,Active,N/A,Active,,,
